INDEX,도메인,카테고리,상품명,상품평,데이터구분
7349,가전,주방가전,(TV)OO  프** 압력쿠커,"국 끓일때 넘침 걱정없어 편했고요~ ^^
스팀배출시에 주의를 해야할것 같습니다. 
저는 천천히 배출하려고 반만 열고 기다렸어요. 스팀이 다 빠져야 열리니 안전한거같고 잘 사용하면 편리 할것 같아요",쇼핑몰
7350,가전,주방가전,(TV)OO  프** 압력쿠커,"너무하네요 냄새가 나서 5번을 세척하고 잡채를했어요 당면 눌러붙어서 타고 시금치는 진짜 너무 죽었다해야하나~~? 찌니깐 그럴수있져~~ 너무 다급해서 사진찍은걸 깜빡했어요 2번째 식혜했어요 설명서대로했는데 밥솥소다 못해요 그리고 내일 갈비찜할건데 이거마저 망쳐버리면 
방송하지마세요~~상품평 다시쓸께요
구운계란과 갈비찜을했는데 너무 잘됐어요~다시 별점 수정해요 
다른음식도 빨리도전하고싶네요~~^^",쇼핑몰
7351,가전,주방가전,(TV)OO  프** 압력쿠커,"반품하고싶을 정도로 품질이 안좋아요
국물이 있는데도 타기까지 해요",쇼핑몰
7352,가전,주방가전,(TV)OO  프** 압력쿠커,"배송도 빠르고  
통스테인레스라 소재가 마음에 들어요
밥도 찰지게 잘되엇네요.
만족합니다.~",쇼핑몰
7353,가전,주방가전,(TV)OO  프** 압력쿠커,"빠른배송 감사합니다. 
스팀 배출 버튼이 좀 뻑뻑해요
요리할때 냄새가 안나서 좋네요~",쇼핑몰
7354,가전,주방가전,(TV)OO  프** 압력쿠커,"새것이 맞는지??찌끄러진게 작지도 않고...엄청 기다렸는데..열전도판도 찍혀있고 기스있고..
밀려오는 이 실망감은...어쩌나요??
고객센터 문의할라니...사진 올리는 곳이 없어 여기에 사진첨부합니다",쇼핑몰
7355,가전,주방가전,(TV)OO  프** 압력쿠커,컬러도이쁜데!요리준비 시간이 아주 여유로워 졌어요. 어렵게 불조절할 필요도 없고 다른 음식도 해보고싶은 욕구가 막 생기네요.,쇼핑몰
7356,가전,주방가전,(TV)OO  A** 초고속 블렌더 H**,"계속 사고싶었는데 티비보다가 가격이 너무 저렴해서 바로구매했는데 ○○○가아니라 그냥 ○○○이더라고용ㅋㅋ찾아보니까 엘이디판있나없나 차이같은데 가격이 거의 오만원이상 차이가나서 이거 사길잘햇다 생각해요ㅋㅋ진짜 당근같은것도 순식간에갈리고 너무좋아여ㅋㅋ아침마다 주스갈아먹기 너무편하고 용량도 대용량이라 이틀치 갈아놓는데 건더기도하나도없고 진짜 파는음료수느낌..이래서 살림은 장비빨이라는건가봐여 주부님들 망설이지마세요 ㅜㅜ 진짜너무좋습니다 첨쓰는거라그런건지 모터냄새가나긴하는데 쓰다보면 뭐괜찮겟죠 그래도 무서워서 수프는 못해먹겟어요 고장날까바ㅋㅋㅋ암튼 주스용으로는 완전강추입니다!!
",쇼핑몰
7357,가전,주방가전,(TV)OO  A** 초고속 블렌더 H**,과일쥬스 해먹었는데 정말 잘 갈리고 세척도 편해요.,쇼핑몰
7358,가전,주방가전,(TV)OO  A** 초고속 블렌더 H**,"싸겨 잘 구매한거같아서 좋습니다
편하게 잘 사용할수있는 께요",쇼핑몰
7359,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"as확실히되는거죠?

색상이 레드만 있는걸로 아는데
그린색이라 정품 맞는거죠?
고기구울때 냄새도 조금밖에 안나오고
기름튈  염려도없고
통자체가 돌면서 구워지는게 좋긴한데
통이 열기땜에 화상 위험 염려도되네요.",쇼핑몰
7360,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"오븐으로 요리한 고기 맛이 정말 일품이네요. 그런데, 일반 가스레인지에서도 사용가능하게 과열 방지센서에 대한 대책도 있어야 겠어요",쇼핑몰
7361,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"광고처럼 기름 쫙빠져 골고루 구워진 고기를 먹을 수 있습니다.
하지만!!
첨부사진과 같이 기름받이부분은 한번사용에 저리 쭈그러졌고~(기름받이 재질이 금속이 아닌듯합니다.)
동그란통 하단의 날개같은 받침부위로 기름이 떨어져 흘러 틈새에 묻습니다~
기름받이와 고무패킹은 소모성 부품인가 봅니다.
몇 번쓰다가 따로 구매해야 할거 같네요.
가스렌지에 놓아두는것도 화구 가운데다가 중불을 사용했는데~ 검게 그을렸다고 할까요?? 얼룩이 생겨서 안지워집니다~
기대가 커서 그런지~ 생각만큼 만족스러운 제품은 아닌거 같습니다.",쇼핑몰
7362,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"기름받침대인가 부풀러올랐고 성형이 변경되었습니다,
교체 요청합니다
음식은 생선 삼겹살 기름 잘빠지며 좋습니다,",쇼핑몰
7363,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,넘 넘 좋아요  연기도 안나고  넣기만하면 자동으로  먹을수있게 다구워지거든요,쇼핑몰
7364,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"방송보고 벼르다 구매해서
닭구이해먹었는데 손쉽게 잘 만들어지고 괜찮네요
생각보다 시간은 더 걸리는듯해요",쇼핑몰
7365,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,보통 삼겹살 먹으려면 기름이 튀는 것도 문제고 뒤집어줘야 하고 할 일이 너무 많은데 이건 타이머 맞춰놓고 기다리기만 하면 되네요 뭔가 설거지하기도 굉장히 간편해졌구요 주위 사람들에게 소문 좀 냈습니다. 신문물이라고ㅋㅋ,쇼핑몰
7366,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"빠른 배송도 만족하고
제품 품질이 좋은지 해 본 음식도 만족스럽습니다
사은품 가방도 좋으네요",쇼핑몰
7367,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"삼겹살엔 통돌이..
진짜 맛도 좋고 육즙도 좋네요..
다만 너무 두꺼운 고기는 오래 돌려야 한다는...",쇼핑몰
7368,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"요즘 티비로 나오는 제품이라 구매했는데 사용하기 편리해서 좋아요
360도 회전 기능이 되어서 뒤집어주고 섞어주지 않아도 되요
배송도 정말 빨라오",쇼핑몰
7369,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"정말 뒤집고 살피고 안해도되는건 편하더라구요~ 세척도^^
근데 가스렌지 가운데 튀어나와있는... 그... 센서? 
그게 자꾸 걸리적 거리네요~ 불세기도 갑자기 줄여지고;;;
방법을 찾아야할것 같아요ㅠㅠ

",쇼핑몰
7370,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"조립 정말 쉽고, 사용 편리하고, 정리 간단하네요.
",쇼핑몰
7371,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,청소는 편리한데 너무오래요리해야하는게단점인것 같습니다,쇼핑몰
7372,가전,주방가전,(TV)OO 통돌이 오븐 (GREEN) H**,"회전 기능이 있어 편하고, 가스 사용시 환기만 잘하면
전기 누진제 걱정 뚝, 특히 야외용 대박입니다!",쇼핑몰
7373,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,20년전에  사고  지금  바꾸네요  가볍고  좋네요  잘  사용하고  있어요,쇼핑몰
7374,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"가격은 저렴하고 
사이즈도 슬림해서 예전모델보다 마음에 들어요
배송도 빨라서 아주 좋아요 다음에 기회가 된다면 다시 구입하겠습니다",쇼핑몰
7375,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,가벼워서좋은데 거품기가없어 서운해요.따로구입해야겠어요.,쇼핑몰
7376,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"꼭필요한  제품인데 세일할때 사서 좋네요 
디자인도 좋아요~^^",쇼핑몰
7377,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"핸드블렌더 정말정말 편리해요~ 잘 갏리고 아무 용기나 사용가능하고
여러모로 쓸모있는 팔방미인 입니다~^^",쇼핑몰
7378,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,디자인도 이쁘고 강합니다.  퀄리티가 너무 좋아요. 강추합니다.,쇼핑몰
7379,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"몇년전에 사용한 OOO가 고장나서 구매.
무게가 가벼워지고 디자인이 심플하네요.",쇼핑몰
7380,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,손잡이부분이 슬림해서 잡기도편하고 다지기도 편하게 할수있겠네요 좋아요,쇼핑몰
7381,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"쓰기에 좋은 크기로 되어 있습니다.
편하게 사용할 수 있어서 좋아요.",쇼핑몰
7382,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"다양한 모드가 있어서 선택 사항이 좋네요 최적의  품질이 굿인 제품입니다
 상담도 최고 입니다",쇼핑몰
7383,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,옛날 상품 정말 무거웠는데 가볍고 색깔도 예쁘요.,쇼핑몰
7384,가전,주방가전,(TV_2만세일)도** 에어슬림 S**,"작동도 잘되고 
디자인도 심플해서 좋네요
일단 배송이 빨라서 굿입니다",쇼핑몰
7385,가전,주방가전,(TV_2만세일_직택배)도** 에어슬림 S**,"거치대가 있어서 보관이 편하네요
쨍한 레드컬러두 맘에 들어요
컵 사이즈 용량이 좀 더 크구 뚜껑이 있으면 완죤 굿일듯요",쇼핑몰
7386,가전,주방가전,(TV_2만세일_직택배)도** 에어슬림 S**,"주스나 야채들  편하게 갈아 먹고 있어 너무 좋아요 
회전솔도 있어서 더자주 사용하게 되네요
배송도 빠르고 앞으로 번창하세요",쇼핑몰
7387,가전,주방가전,(TV_50세일) 도** V**,간편하고 믹스가곱게갈아지고 신속하게갈아져서 너무좋아요,쇼핑몰
7388,가전,주방가전,(TV_50세일) 도** V**,너무싸게잘샀어요 누르긴 조금힘들지만 스텐이라 믿고쓸께요,쇼핑몰
7389,가전,주방가전,(TV_50세일) 도** V**,"다용도로 이로움
요리하는 즐거움
거치대의 편리함
가성비도 좋은듯
",쇼핑몰
7390,가전,주방가전,(TV_50세일) 도** V**,"OOO 방망이 편리하긴한데, 누르는 곳이 꽉 눌러도 자꾸 꺼지고 다시 꽉 눌러야 켜지고 힘이 딸리면 자꾸 꺼지네요",쇼핑몰
7391,가전,주방가전,(TV_50세일) 도** V**,"OOO. 착한가격에 좋은제품 구매해서
정말 좋아요~쉽게 잘 갈리고 편하네요",쇼핑몰
7392,가전,주방가전,(TV_50세일) 도** V**,"방송에서   볼때는  잘되고   쉬워  보였는데  무겁고   잘  안되는 것 같아요.
손잡이 부분을 잡고 조작하기가 어려워요",쇼핑몰
7393,가전,주방가전,(TV_50세일) 도** V**,"소리가 좀크지만
김장양념 갈아봤는데 잘갈립니다^^",쇼핑몰
7394,가전,주방가전,(TV_50세일) 도** V**,아직 사용전이라 ~~싼 가격에 잘 산것 같아요.잘 쓰고 있습니다.,쇼핑몰
7395,가전,주방가전,(TV_50세일) 도** V**,아직 사용전인데 깔끔하니 이뻐요 무게도 가볍고 손목에 무리가 가지 않겠어요 잘 사용할거같아요,쇼핑몰
7396,가전,주방가전,(TV_50세일) 도** V**,"아직 써보진 않아 몰겠지만..
예전 쓰던것 보단 간단하고 가벼워요.",쇼핑몰
7397,가전,주방가전,(TV_50세일) 도** V**,편리하고 깔끔하게  보여서  인테리어 짱입니다,쇼핑몰
7398,가전,주방가전,(TV_50세일_직)OO V**,구성품이 많지는 않지만 딱 매인만으로도 저령한가격에 만족합니다,쇼핑몰
7399,가전,주방가전,(TV_50세일_직)OO V**,늦게사용을해봐서 상품평이늦었네요.전 너무 무겁네요. 불편하네요.,쇼핑몰
7400,가전,주방가전,(TV_50세일_직)OO V**,"다른 사이트엔 비쌌는데 여기서 50프로 세일하니 알뜰구매 했어요
아직 사용전이지만 콕 필요한 상품이라 좋은 가격에  잘 샀어요 예전부턴 사고싶었으나  넘비싸니 구매 못하고  참았다가 구매했어요
",쇼핑몰
7401,가전,주방가전,(TV_50세일_직)OO V**,"모터 강하고 얼은것도 잘 갈려요
편하고 튼튼해요~",쇼핑몰
7402,가전,주방가전,(TV_50세일_직)OO V**,무겁고 작동시킬때 버튼누를때 힘을 줘야해서 불편하기도 팔에 아프기도 합니다,쇼핑몰
7403,가전,주방가전,(TV_50세일_직)OO V**,"무게감과    손목이  아플 정도로 버튼 누르기가
힘들고   2~3초 작동하다  자꾸  멈춤
타사에  비해 사용하기  불편함

",쇼핑몰
7404,가전,주방가전,(TV_50세일_직)OO V**,"묵직합니다 너무무거워서  불편하고
작동시 버튼 누르느라 힘듬
",쇼핑몰
7405,가전,주방가전,(TV_50세일_직)OO V**,"배송이 늦는 편이었어요 총 5일만에 받았네요 
기능이 그냥 저냥이에요 잘 안갈려요
좋은 가격에 살 수 있어 괜찮았지만 급하셨던 분들은 많이 기다렸을 것 같아요",쇼핑몰
7406,가전,주방가전,(TV_50세일_직)OO V**,"배송이 빨라서  조아요
스위치 누르면서 하는거는 좀 아닌 거 같습니다
다지기 성능도 좋은 편이에요",쇼핑몰
7407,가전,주방가전,(TV_50세일_직)OO V**,생각보다 조금 무겁고 버튼 누를 때 힘이 많이 들어가긴하지만 자주쓰는거 아니고 세척이 편해서 괜찮은거 같아요,쇼핑몰
7408,가전,주방가전,(TV_50세일_직)OO V**,고장이라도 난건지 생각보더 잘 안갈리고 성능이 딸리는지 잘 갈리지가 않음~,쇼핑몰
7409,가전,주방가전,(TV_50세일_직)OO V**,"쓰기 편안하고 좋아요
뭐든 갈수있어 넘 신기하고  잘쓰고있음",쇼핑몰
7410,가전,주방가전,(TV_50세일_직)OO V**,"아주 만족합니다.
과일이나, 채소 종류  잘 갈려요.
가성비 좋아요.",쇼핑몰
7411,가전,주방가전,(TV_50세일_직)OO V**,약간의무게감이 없지안지만 좋은가격에구입하게되어 좋습니다.,쇼핑몰
7412,가전,주방가전,(TV_50세일_직)OO V**,"예전모델이 고장나 다시구입했는데 너무 이뻐요
불랙 아주 좋아요~^^",쇼핑몰
7413,가전,주방가전,(TV_50세일_직)OO V**,"작동 버튼이 고무라서  꾹  눌러야 해서 불펀하네요
믹서는 잘 되네요.  잘 쓰겠습니다",쇼핑몰
7414,가전,주방가전,(TV_50세일_직)OO V**,잘쓰고 있습니다. 요리 레시피 설명서가 없어서 아쉽습니다.,쇼핑몰
7415,가전,주방가전,(TV_50세일_직)OO V**,잘안되네요.처음 써보는것도 아닌데 딱 가격...,쇼핑몰
7416,가전,주방가전,(TV_50세일_직)OO V**,"가성비 좋아요
자주만 가격내려가거나
사은품이많아지는게 서운한뿐
쉽고 편하게 사용할 수 있습니다",쇼핑몰
7417,가전,주방가전,(TV_50세일_직)OO V**,"좋은 가격에  구매 했네요
작동을 할려구 해보니 시작버튼을  끝날때까지 누르고  작동을 하니 불편함이 있어요",쇼핑몰
7418,가전,주방가전,(TV_50세일_직)OO V**,좋은 가격에 구매했어요. 블랙 시크하기도 하고. 간단하게 되어있는 구성이넹ᆢㄷ,쇼핑몰
7419,가전,주방가전,(TV_50세일_직)OO V**,칼날이 하나.. 좀 무겁고... 그래도 싼가격이라..ㅎ,쇼핑몰
7420,가전,주방가전,(TV_50세일_직)OO V**,"튼튼하고 잘갈려요 ㅎ 근데 무거워요 
하나좋으니 한그래도 싼가격이라..ㅎ가지가 ㅎㅎ",쇼핑몰
7422,가전,주방가전,(TV_50세일_직택배)도** V**,"디자인이 예쁘네요.
세일이라 가격도 착하고
사용해봐야알겠지만 
맘에 들어요^^",쇼핑몰
7423,가전,주방가전,(TV_50세일_직택배)도** V**,"사과도  안갈리니..나참.
과대광고아닙니까?
블루베리.  미숫가루.
바나나 갈리고요..
비트 당근은 아예 안갈려요.
정말 반품하고픕니다.

단호박도 제대로 안갈림.
무겁기만..절대 비추",쇼핑몰
7424,가전,주방가전,(TV_50세일_직택배)도** V**,"사용은 괜찮은데  무겁네요 
자주사용하긴 힘들어요",쇼핑몰
7425,가전,주방가전,(TV_50세일_직택배)도** V**,"성능은 나쁘지않은데 계속해서 잘 안돌아가요 누르면 몇초있다 멈추고 
정상적인걸까요
무거워서 좀 힘들긴해요 믹서보단 설거지가 편하지만 여자가사용하기엔 무겁고 누르고있어도 연속해서 되질않아 그냥 강추는 아닙니다",쇼핑몰
7426,가전,주방가전,(TV_50세일_직택배)도** V**,"스위치를 꾹! 힘있게 눌러야 작동이 되는게  너무 불편했는데
사용한지 세번 만에
작동이 안되네요.
제발  해결해주세요!!!!!
전화드렸는데 아직도 응답이없네요.
많이 속상합니다.",쇼핑몰
7427,가전,주방가전,(TV_50세일_직택배)도** V**,"잘 갈리긴 하나 작동 하는 동안
스위치를 계속 누르고 있어야 하는
불편함이 있습니다.",쇼핑몰
7428,가전,주방가전,(TV_50세일_직택배)도** V**,제품은 싸게 구매했는데 ...가동버튼 스위치 눌리기가  좀 불편하네. 잘 사용하고 있습니다,쇼핑몰
7429,가전,주방가전,(TV_50세일_직택배)도** V**,좀 무겁네요 가벼우면 좋겠는데 가격대비 괜찮아요,쇼핑몰
7430,가전,주방가전,(TV_50세일_직택배)도** V**,"필요할것 같아 가격보고 샀는데
무겁고 선땜에 불편해 안쓰게되네요
무선이고 조금만더 가볍다면 좋겠어요",쇼핑몰
7431,가전,주방가전,(TV_물류변경)OO  나** ,구성좋고제품품질도만족합니다..살균된다니안심됩니다.,쇼핑몰
7432,가전,주방가전,(TV_물류변경)OO  나** ,나이프가 살균소독되고 수저도 살균건조할수 있어서 우리가족 건강에 좋을듯 합니다.,쇼핑몰
7433,가전,주방가전,(TV_물류변경)OO  나** ,"매번 수저를 소돋할수 있어 너무 좋습니다. 
가위, 칼도 잘 들어서 사용하기 편리하고
사용해보니 기능이 생각보다 더 맘에 듭니다. 
사용해보니 사용법도 편하고 좋아 적극 추천합니다. 
품질이 좋은 물건 감사합니다.",쇼핑몰
7434,가전,주방가전,(TV_물류변경)OO  나** ,"아직 사용은 안해봤는데 적립금 써서 싸게 샀고
세련된 컬러가 거실 인테리어를 고급스럽게 해줘요
 배송도 굉장히 빠르네요",쇼핑몰
7435,가전,주방가전,(TV_물류변경)OO  나** ,우선노출이않되고소독이되니마음이안심임니다 편하게쓸수 있으니 아들이잘사셨어요하네요,쇼핑몰
7436,가전,주방가전,(TV_물류변경)OO  나** ,우와우와우와 디자인만 예쁜게 아니네요^^ 기능도 너무 좋아요!!!! 칼은 진짜 신세계에요ㅋㅋㅋ 김밥 싸면 맨날 터졌는데 김밥 썰다가 완전 반했어요~ 칼날이 진짜 짱짱해서 설거지 하다가 스폰지 수세미 잘림요ㅋㅋㅋㅋ 강추합니당^^,쇼핑몰
7437,가전,주방가전,(TV_물류변경)OO  나** ,잘 소독이 되는지 확인은 안되는데 디자인 예쁘고 칼도 잘 들고 좋아요,쇼핑몰
7438,가전,주방가전,(TV_물류변경)OO  나** ,"칼갈이 기능이 만족스럽지 않고요
버튼 그림 몇달사이에 지워져서 
상품에 대한 질이 의심스러움요",쇼핑몰
7439,가전,주방가전,(TV_물류변경)OO  나** ,칼도 잘들고 레이져 소독이 되어서 수저와젖가락을 삶지 않아서 아주 편리합니다,쇼핑몰
7440,가전,주방가전,(TV_물류변경)OO  나** ,"코로나 시대에  수저등 조리기구까지  살균하니 좋은것 같아요.
.근데 생각보다  뜨거운 바람이 안나와요.그냥  미지근한 정도....살균되는건 맞는것이겠지요..
그리고 칼은 생각보다 별루 입니다",쇼핑몰
7441,가전,주방가전,(TV_방_특) V.도**+사은품 3종,여러기능을 잘 사용하고 있습니다^^ 사은품도 만족하며 사용하고 있습니다!,쇼핑몰
7442,가전,주방가전,(TV_방송) V.도**_SALE,"방송 나온 구성대로 배송되었어요.
오자마자 믹스커피샤베트 해 먹으려고 OOO커피믹스와 얼음 덩어리넣고 갈아봤는데 잘 안 갈리더라구요.  

이거 부지런히 쓰고 또 사게 열심히 만들어주세요.",쇼핑몰
7443,가전,주방가전,(TV_방송중_특)○○ 옵티믹스 초고속블렌더(B**)+사은품 무선주전자,"적당한 가격입니다^^ 잘갈립니다 성능 짱짱
사용 후 씻기도 간편하고 좋아요.
",쇼핑몰
7444,가전,주방가전,(TV_방송중무료체험)○○ 나**,"1시간을 돌려도 물이 깔끔하게 마르지는 않네요 .. 칼은 날카롭고 
생각보다 무게감 있습니다......;;;",쇼핑몰
7445,가전,주방가전,(TV_방송중무료체험)○○ 나**,"소독기능이 좋아서 감염관리 하기 위함이구요. 
칼 갈이가  있어서 편리합니다",쇼핑몰
7446,가전,주방가전,(TV_방송중무료체험)○○ 나**,"고민고민 하다가  구매결심하였습니다. 사이즈 아담해요
부엌의 공간  깔끔해져서 만족합니다.",쇼핑몰
7447,가전,주방가전,(TV_방송중무료체험)○○ 나**,괜찮을까 반신반의 하면서 구매했는데 부피가 생각보다 마니 차지해서 공간차지를 좀하지만 위생적으로 쓸수있겠다 싶어요^^~ 구매확정 무엇보다 빨간색상이 완전 넘 이뻐서 주방에 포인트 되고 좋네여^^ 다른색상들도 다 이쁠거 같아여~,쇼핑몰
7448,가전,주방가전,(TV_방송중무료체험)○○ 나**,깔끔하고 위생적이라 좋아요~ 정리도 잘 되어 마음에 듭니다.^^  물록 나이프도 좋습니다.,쇼핑몰
7449,가전,주방가전,(TV_방송중무료체험)○○ 나**,"깔끔하고 좋은데 건조하는 바람이 약하긴 하네요.ㅠㅠ
뚜껑이 있으면 좋겠어요",쇼핑몰
7450,가전,주방가전,(TV_방송중무료체험)○○ 나**,"디자인이 깔끔하네요^^ 
기능 믿고 사용합니다
칼은 완벽해요 잘 잘려서 완벽 !",쇼핑몰
7451,가전,주방가전,(TV_방송중무료체험)○○ 나**,"외형이 깔끔해요 ^^ 
칼, 수저, 도구 세척후 소독으로 좋습니다",쇼핑몰
7452,가전,주방가전,(TV_방송중무료체험)○○ 나**,나쁘진 않은데 송풍기능 켜면 생각보다 소음이 큽니다. 칼은 괜찮고 다른기능도 괞찮은데 소음민감하신분 비추합니다,쇼핑몰
7453,가전,주방가전,(TV_방송중무료체험)○○ 나**,너무 깔끔하고 예뻐요~~~칼갈이도 좋아요~~~,쇼핑몰
7454,가전,주방가전,(TV_방송중무료체험)○○ 나**,"넉넉한 공간으로 좋아요^^ 살균 건조기능에 더해 칼갈이기능까지
최고품질의 칼셋트는 보너스 매우 만족합니다",쇼핑몰
7455,가전,주방가전,(TV_방송중무료체험)○○ 나**,"넉넉해서집에있는수저세트가다들어가요
레드칼라라주방에포인트도되구요",쇼핑몰
7456,가전,주방가전,(TV_방송중무료체험)○○ 나**,다 필요없고 그냥 건조기능이 대박좋아요^^ 크기도 크서 좋아요 칼갈이는 잘안쓰지만 유용할거같음 칼도 같이 꼽아쓰니 더좋음,쇼핑몰
7457,가전,주방가전,(TV_방송중무료체험)○○ 나**,디자인 너무 마음에 들고요 깔끔하고 실용적이예요. 오자마자 설치해서 사용해봤는데 넘 잘 되고요 주방 분위기도 살아나요.,쇼핑몰
7458,가전,주방가전,(TV_방송중무료체험)○○ 나**,"딥그린 색상 예쁘고 좋아요~ 조리도구 보관도 하고 살균도 가능한게 좋아요~ 그리고 칼 세트도 좋아요~
",쇼핑몰
7459,가전,주방가전,(TV_방송중무료체험)○○ 나**,"딥그린~ 색상 넘 이뻐요~
살균도 잘되고 좋습니다",쇼핑몰
7460,가전,주방가전,(TV_방송중무료체험)○○ 나**,"정가에 제대로 구입했는데 돈만 버렸네요
리퍼상품인가요?? 표면에 흠집이 있네요!!!!
왜 테이핑이 두번나눠서 되어잇으며 개봉한것같은 흔적이죠? 반품된 상품 다시 보내주신거 아닌가요??
새상품을 보내주셔야지 이미 한번 개봉된 상품을 보내주시면 어떡합니까?
기분 나쁘네요",쇼핑몰
7461,가전,주방가전,(TV_방송중무료체험)○○ 나**,"모양도 예쁘네요^^ 수저나 칼을 살균 할 수 있어 
마음 편합니다
또한 칼갈이가 신의 한 수 입니다
잘 쓰겠습니다 
",쇼핑몰
7462,가전,주방가전,(TV_방송중무료체험)○○ 나**,받자마자 오늘 소독했읍니다 기능 짱짱 칼갈이까지있어 더좋읍니다,쇼핑몰
7463,가전,주방가전,(TV_방송중무료체험)○○ 나**,"방송중에  관심있게 보다가 필요했던차에 주문했는데 생각보다 크기가  커서 공간을 많이 차지합니다.
건조할때 온도가 높지않았고 , 칼 넣는자리는 사용중인 칼이 그닥 크지않았는데 들어가지 않네요.
",쇼핑몰
7464,가전,주방가전,(TV_방송중무료체험)○○ 나**,"배송도 느렸고 소음이 크네요ㅜ 이정도 온도로 살균소독이 될까 미심쩍네요.
스텐수저통 밑은 플라스틱이네요. 소재가 별로네요",쇼핑몰
7465,가전,주방가전,(TV_방송중무료체험)○○ 나**,배송도 빠르고 :) 살균이 된다하니 일단은 위생적이고 칼도 그립감도 좋아 맘에 듭니다^^,쇼핑몰
7466,가전,주방가전,(TV_방송중무료체험)○○ 나**,"사야지하면서 못 사고있다가 주문했는데 좋아요^^

소음도 크지않고 좋습니다 ^^ 넉넉히 들어가니 좋은것같아요^^",쇼핑몰
7467,가전,주방가전,(TV_방송중무료체험)○○ 나**,사용전이라 뭐라 할말은 없습니다만 외형이 생각보다 싼티가...레드라 그런가....뭐 기능만 좋으면 괜찮 습니다만 이사가서 사용하려고 킵해놓은 상태 후에라도 사용해 보고 상품평 재 등록 하겠습니다,쇼핑몰
7468,가전,주방가전,(TV_방송중무료체험)○○ 나**,살균 건조 너무 안심됩니다~^^ 칼하고 수저가 정리돼서  깔끔하고 좋습니다~,쇼핑몰
7469,가전,주방가전,(TV_방송중무료체험)○○ 나**,살균 된다는 광고에 구매는 헀는데...부피가 크네요 ㅠㅠ 소음도 나구요ㅠㅠ 살균이 되는건지 잘 모륵겠네요...ㅠ,쇼핑몰
7470,가전,주방가전,(TV_방송중무료체험)○○ 나**,살균건조 시간이 오래걸린다  수저통 계속 오픈되있어 위생에 좀 ...,쇼핑몰
7471,가전,주방가전,(TV_방송중무료체험)○○ 나**,살균되서 좋아요^^ 칼을갈수있어서편하게쓰고있어요~~~,쇼핑몰
7472,가전,주방가전,(TV_방송중무료체험)○○ 나**,"살균소독이  되고 기능도 짱이네요
칼세트도 맘에드네요
잘 쓸게요",쇼핑몰
7473,가전,주방가전,(TV_방송중무료체험)○○ 나**,"살균이 가능하다해서 구입했어요. 살균기능 만족합니다.
색도 이쁘고 칼도 이뻐요
빨리 사용하고싶어요",쇼핑몰
7474,가전,주방가전,(TV_방송중무료체험)○○ 나**,"삶지않고 살균되는제품좋아요
근데 뚜껑이없어서 그런지걱정이되네요
작동시 소음도 조금아쉽네요",쇼핑몰
7475,가전,주방가전,(TV_방송중무료체험)○○ 나**,"상품크기며 자동칼갈이 건조시스템이며 만족스럽다.
제가 생각하는 단점이라면 바닥에 뽁뽁이가 있어서 움직일 때 조금 불편하다는 점이 있는 것 같다.
칼도 절삭력이 홈쇼핑때처럼 엄청 잘든다.
대체로 만족합니다",쇼핑몰
7476,가전,주방가전,(TV_방송중무료체험)○○ 나**,색상도 넘 이쁘고 칼도 넘 잘들고 좋아요~~~~^^,쇼핑몰
7477,가전,주방가전,(TV_방송중무료체험)○○ 나**,"색이 참 이뻐요~~
칼도 잘 썰리고 ~~
가위도 참 잘 잘려요~^^!",쇼핑몰
7478,가전,주방가전,(TV_방송중무료체험)○○ 나**,"생각보다 부피가 커서 자리는좀 차지하네요~ㅠㅠ
칼이 잘 갈려서 넘넘잘쓰고있어요~",쇼핑몰
7479,가전,주방가전,(TV_방송중무료체험)○○ 나**,생각보다 통이크고 좋네요  뜨거운바람이아니네요ㅠ 소독한다는개념으로쓰고있네요,쇼핑몰
7480,가전,주방가전,(TV_방송중무료체험)○○ 나**,"소독기능 좋고 칼도 너무 잘들고 
칼갈이 기능이 있어서 좋아요~^^",쇼핑몰
